frame,timestamp,object_type,object_id,vehicle_type,plate_number,ocr_confidence,authorization,face_detected
1,0.04,person,1,,,,AUTHORIZED,False
1,0.04,vehicle,2,car,JK02DA7007,0.486,,
1,0.04,person,3,,,,UNAUTHORIZED,False
2,0.08,person,1,,,,AUTHORIZED,False
2,0.08,vehicle,2,car,JK02DA7007,0.486,,
2,0.08,person,3,,,,UNAUTHORIZED,False
3,0.12,person,1,,,,AUTHORIZED,False
3,0.12,vehicle,2,car,JK02DA7007,0.486,,
3,0.12,person,3,,,,UNAUTHORIZED,False
4,0.17,person,1,,,,AUTHORIZED,False
4,0.17,vehicle,2,car,JK02DA7007,0.486,,
4,0.17,person,3,,,,UNAUTHORIZED,False
5,0.21,person,1,,,,AUTHORIZED,False
5,0.21,vehicle,2,car,JK02DA7007,0.486,,
5,0.21,person,3,,,,UNAUTHORIZED,False
6,0.25,person,1,,,,AUTHORIZED,False
6,0.25,vehicle,2,car,JK02DA7007,0.605,,
6,0.25,person,3,,,,UNAUTHORIZED,False
7,0.29,person,1,,,,AUTHORIZED,False
7,0.29,vehicle,2,car,JK02DA7007,0.605,,
7,0.29,person,3,,,,UNAUTHORIZED,False
8,0.33,person,1,,,,AUTHORIZED,False
8,0.33,vehicle,2,car,JK02DA7007,0.605,,
8,0.33,person,3,,,,UNAUTHORIZED,False
9,0.38,person,1,,,,AUTHORIZED,False
9,0.38,vehicle,2,car,JK02DA7007,0.605,,
9,0.38,person,3,,,,UNAUTHORIZED,False
10,0.42,person,1,,,,AUTHORIZED,False
10,0.42,vehicle,2,car,JK02DA7007,0.605,,
10,0.42,person,3,,,,UNAUTHORIZED,False
11,0.46,person,1,,,,AUTHORIZED,False
11,0.46,vehicle,2,car,JK02DA7007,0.605,,
11,0.46,person,3,,,,UNAUTHORIZED,False
12,0.5,person,1,,,,AUTHORIZED,False
12,0.5,vehicle,2,car,JK02DA7007,0.605,,
12,0.5,person,3,,,,UNAUTHORIZED,False
13,0.54,person,1,,,,AUTHORIZED,False
13,0.54,vehicle,2,car,JK02DA7007,0.605,,
13,0.54,person,3,,,,UNAUTHORIZED,False
14,0.58,person,1,,,,AUTHORIZED,False
14,0.58,vehicle,2,car,JK02DA7007,0.605,,
14,0.58,person,3,,,,UNAUTHORIZED,False
15,0.62,person,1,,,,AUTHORIZED,False
15,0.62,vehicle,2,car,JK02DA7007,0.853,,
15,0.62,person,3,,,,UNAUTHORIZED,False
16,0.67,person,1,,,,AUTHORIZED,False
16,0.67,vehicle,2,car,JK02DA7007,0.853,,
16,0.67,person,3,,,,UNAUTHORIZED,False
17,0.71,person,1,,,,AUTHORIZED,False
17,0.71,vehicle,2,car,JK02DA7007,0.853,,
17,0.71,person,3,,,,UNAUTHORIZED,False
18,0.75,person,1,,,,AUTHORIZED,False
18,0.75,vehicle,2,car,JK02DA7007,0.853,,
18,0.75,person,3,,,,UNAUTHORIZED,False
19,0.79,person,1,,,,AUTHORIZED,False
19,0.79,vehicle,2,car,JK02DA7007,0.853,,
19,0.79,person,3,,,,UNAUTHORIZED,False
20,0.83,person,1,,,,AUTHORIZED,False
20,0.83,vehicle,2,car,JK02DA7007,0.853,,
20,0.83,person,3,,,,UNAUTHORIZED,False
21,0.88,person,1,,,,AUTHORIZED,False
21,0.88,vehicle,2,car,JK02DA7007,0.853,,
21,0.88,person,3,,,,UNAUTHORIZED,False
22,0.92,person,1,,,,AUTHORIZED,False
22,0.92,vehicle,2,car,JK02DA7007,0.853,,
22,0.92,person,3,,,,UNAUTHORIZED,False
23,0.96,person,1,,,,AUTHORIZED,False
23,0.96,vehicle,2,car,JK02DA7007,0.853,,
23,0.96,person,3,,,,UNAUTHORIZED,False
24,1.0,person,1,,,,AUTHORIZED,False
24,1.0,vehicle,2,car,JK02DA7007,0.853,,
24,1.0,person,3,,,,UNAUTHORIZED,False
25,1.04,person,1,,,,AUTHORIZED,False
25,1.04,vehicle,2,car,JK02DA7007,0.853,,
25,1.04,person,3,,,,UNAUTHORIZED,False
26,1.08,person,1,,,,AUTHORIZED,False
26,1.08,vehicle,2,car,JK02DA7007,0.853,,
26,1.08,person,3,,,,UNAUTHORIZED,False
27,1.12,person,1,,,,AUTHORIZED,False
27,1.12,vehicle,2,car,JK02DA7007,0.854,,
27,1.12,person,3,,,,UNAUTHORIZED,False
28,1.17,person,1,,,,AUTHORIZED,False
28,1.17,vehicle,2,car,JK02DA7007,0.854,,
28,1.17,person,3,,,,UNAUTHORIZED,False
29,1.21,person,1,,,,AUTHORIZED,False
29,1.21,vehicle,2,car,JK02DA7007,0.854,,
29,1.21,person,3,,,,UNAUTHORIZED,False
30,1.25,person,1,,,,AUTHORIZED,False
30,1.25,vehicle,2,car,JK02DA7007,0.854,,
30,1.25,person,3,,,,UNAUTHORIZED,False
31,1.29,person,1,,,,AUTHORIZED,False
31,1.29,vehicle,2,car,JK02DA7007,0.854,,
31,1.29,person,3,,,,UNAUTHORIZED,False
32,1.33,person,1,,,,AUTHORIZED,False
32,1.33,vehicle,2,car,JK02DA7007,0.854,,
32,1.33,person,3,,,,UNAUTHORIZED,False
33,1.38,person,1,,,,AUTHORIZED,False
33,1.38,vehicle,2,car,JK02DA7007,0.854,,
33,1.38,person,3,,,,UNAUTHORIZED,False
34,1.42,person,1,,,,AUTHORIZED,False
34,1.42,vehicle,2,car,JK02DA7007,0.854,,
34,1.42,person,3,,,,UNAUTHORIZED,True
35,1.46,person,1,,,,AUTHORIZED,False
35,1.46,vehicle,2,car,JK02DA7007,0.854,,
35,1.46,person,3,,,,UNAUTHORIZED,False
36,1.5,person,1,,,,AUTHORIZED,False
36,1.5,vehicle,2,car,JK02DA7007,0.854,,
36,1.5,person,3,,,,UNAUTHORIZED,False
37,1.54,person,1,,,,AUTHORIZED,False
37,1.54,vehicle,2,car,JK02DA7007,0.854,,
38,1.58,person,1,,,,AUTHORIZED,False
38,1.58,vehicle,2,car,JK02DA7007,0.854,,
38,1.58,person,3,,,,UNAUTHORIZED,True
39,1.62,person,1,,,,AUTHORIZED,False
39,1.62,vehicle,2,car,JK02DA7007,0.945,,
40,1.67,person,1,,,,AUTHORIZED,False
40,1.67,vehicle,2,car,JK02DA7007,0.945,,
40,1.67,person,3,,,,UNAUTHORIZED,False
41,1.71,person,1,,,,AUTHORIZED,False
41,1.71,vehicle,2,car,JK02DA7007,0.945,,
41,1.71,person,3,,,,UNAUTHORIZED,True
42,1.75,person,1,,,,AUTHORIZED,False
42,1.75,vehicle,2,car,JK02DA7007,0.945,,
42,1.75,person,3,,,,UNAUTHORIZED,True
43,1.79,person,1,,,,AUTHORIZED,False
