radar_event_id,track_id,lifecycle_state,first_frame,last_observed_frame,first_time_seconds,last_observed_time_seconds,observed_duration_seconds,observation_count,span_frames,missed_frames_within_observation_span,max_consecutive_missed_frames,termination_missed_frames,termination_reason,current_x_pixels,current_y_pixels,mean_x,mean_y,std_x,std_y,current_range_pixels,current_angle_degrees,zone,distance_travelled_pixels,net_displacement_pixels,range_change_pixels,range_standard_deviation_pixels,radial_velocity_px_per_sec,radial_motion_r2,angle_change_degrees,angular_velocity_deg_per_sec,angular_motion_r2,trajectory_consistency_r2,average_speed_px_per_sec,motion_state,stability_score,stability_level,observation_ratio,range_stability,motion_consistency,shape_stability,track_quality,quality_level,continuity_ratio,average_detection_confidence,average_artifact_risk,average_area,maximum_area,average_brightness,maximum_brightness,average_circularity,average_fill_ratio,average_grid_overlap,average_sweep_overlap,classification_type,classification_confidence,physical_object_identification,alert,alert_type,alert_severity,alert_reason,threat_score,threat_score_type,persistent,minimum_range_pixels,hardware_alarm_confirmed
1,RADAR-00001,TERMINATED,0,37,0.0,1.541667,1.541667,30,38,8,19,19,MAX_MISSED_FRAMES_EXCEEDED,627.12,144.409,626.481,144.575,1.537,0.424,268.266,25.998,OUTER_MONITORING,17.145,0.079,-0.074,1.519,0.967,0.1,0.006,0.024,0.013,0.509,11.121,GENERAL_MOTION,0.644,MEDIUM,0.789,0.848,0.207,0.48,0.838,HIGH,0.789,0.844,0.03,294.233,543.5,191.816,195.657,0.827,0.697,0.0,0.0,GENERAL_MOTION_CONTACT,0.891,False,False,,INFO,No software threat condition satisfied.,0.462,software_priority_score_not_probability,True,261.663,False
2,RADAR-00002,TERMINATED,0,41,0.0,1.708333,1.708333,42,42,0,19,19,MAX_MISSED_FRAMES_EXCEEDED,463.613,175.5,463.716,175.088,0.13,0.195,116.215,48.1,MID_DEFENSE_LAYER,7.24,0.53,-0.382,0.169,0.033,0.01,0.181,-0.048,0.095,0.0,4.238,STATIONARY,0.963,HIGH,1.0,0.983,1.0,0.834,0.923,HIGH,1.0,0.808,0.0,193.06,340.5,190.152,196.335,0.864,0.698,0.0,0.0,PERSISTENT_STATIONARY_CONTACT,0.866,False,False,,INFO,No software threat condition satisfied.,0.655,software_priority_score_not_probability,True,116.215,False
3,RADAR-00003,TERMINATED,0,40,0.0,1.666667,1.666667,36,41,5,19,19,MAX_MISSED_FRAMES_EXCEEDED,527.395,211.0,528.533,211.589,1.715,0.444,150.311,19.834,MID_DEFENSE_LAYER,15.509,0.595,0.419,1.495,-1.047,0.133,0.161,0.393,0.329,0.747,9.305,GENERAL_MOTION,0.705,MEDIUM,0.878,0.85,0.403,0.483,0.85,HIGH,0.878,0.777,0.04,210.389,340.5,190.146,195.348,0.794,0.665,0.0,0.038,GENERAL_MOTION_CONTACT,0.844,False,False,,INFO,No software threat condition satisfied.,0.582,software_priority_score_not_probability,True,149.892,False
4,RADAR-00004,TERMINATED,0,37,0.0,1.541667,1.541667,38,38,0,19,19,MAX_MISSED_FRAMES_EXCEEDED,538.897,100.814,538.595,100.56,0.097,0.1,222.167,46.512,OUTER_MONITORING,4.07,0.454,0.035,0.074,-0.055,0.116,0.117,-0.027,0.167,0.194,2.64,STATIONARY,0.964,HIGH,1.0,0.993,1.0,0.897,0.865,HIGH,1.0,0.715,0.139,206.211,252.0,190.447,193.647,0.896,0.737,0.462,0.0,PERSISTENT_STATIONARY_CONTACT,0.801,False,False,,INFO,No software threat condition satisfied.,0.497,software_priority_score_not_probability,True,222.032,False
5,RADAR-00005,TERMINATED,11,40,0.458333,1.666667,1.208333,30,30,0,19,19,MAX_MISSED_FRAMES_EXCEEDED,472.847,49.534,472.704,49.731,0.125,0.094,229.53,67.767,OUTER_MONITORING,3.301,0.256,0.179,0.077,0.009,0.002,0.046,-0.045,0.233,0.214,2.732,STATIONARY,0.98,HIGH,1.0,0.992,1.0,0.912,0.901,HIGH,1.0,0.751,0.0,104.167,119.5,188.111,191.254,0.883,0.709,0.0,0.0,PERSISTENT_STATIONARY_CONTACT,0.826,False,False,,INFO,No software threat condition satisfied.,0.532,software_priority_score_not_probability,True,229.185,False
6,RADAR-00006,TERMINATED,20,36,0.833333,1.5,0.666667,13,17,4,19,19,MAX_MISSED_FRAMES_EXCEEDED,560.003,125.542,557.324,134.42,4.556,23.911,221.129,38.104,OUTER_MONITORING,100.051,91.482,35.901,9.638,43.9,0.757,23.996,19.314,0.329,0.195,150.077,RECEDING,0.519,LOW,0.765,0.036,0.427,0.674,0.757,HIGH,0.765,0.662,0.015,102.577,153.0,195.534,201.432,0.686,0.592,0.0,0.0,RECEDING_CONTACT,0.658,False,False,,INFO,No software threat condition satisfied.,0.335,software_priority_score_not_probability,True,185.227,False
7,RADAR-00007,TERMINATED,29,49,1.208333,2.041667,0.833333,21,21,0,19,19,MAX_MISSED_FRAMES_EXCEEDED,524.535,84.556,524.589,84.839,0.114,0.123,225.119,52.02,OUTER_MONITORING,2.658,0.324,0.252,0.12,0.045,0.009,0.052,0.001,0.0,0.0,3.19,STATIONARY,0.981,HIGH,1.0,0.988,1.0,0.921,0.907,HIGH,1.0,0.768,0.0,118.119,137.0,189.378,193.121,0.898,0.723,0.0,0.0,PERSISTENT_STATIONARY_CONTACT,0.837,False,False,,INFO,No software threat condition satisfied.,0.474,software_priority_score_not_probability,True,224.771,False
8,RADAR-00008,TERMINATED,32,58,1.333333,2.416667,1.083333,20,27,7,19,19,MAX_MISSED_FRAMES_EXCEEDED,625.004,236.368,619.743,236.22,2.076,0.995,240.375,6.121,OUTER_MONITORING,12.197,6.106,6.091,2.066,3.52,0.403,0.104,0.424,0.407,0.0,11.259,GENERAL_MOTION,0.681,MEDIUM,0.741,0.793,0.27,0.717,0.781,HIGH,0.741,0.743,0.0,136.45,236.0,190.481,196.955,0.816,0.659,0.0,0.0,GENERAL_MOTION_CONTACT,0.82,False,False,,INFO,No software threat condition satisfied.,0.402,software_priority_score_not_probability,True,232.629,False
9,RADAR-00009,TERMINATED,32,52,1.333333,2.166667,0.833333,14,21,7,19,19,MAX_MISSED_FRAMES_EXCEEDED,588.966,228.295,591.491,226.454,2.181,1.199,205.746,9.429,OUTER_MONITORING,13.908,4.125,-1.492,2.208,-4.602,0.377,1.067,-0.862,0.646,0.063,16.69,GENERAL_MOTION,0.628,MEDIUM,0.667,0.779,0.362,0.502,0.719,MEDIUM,0.667,0.696,0.064,157.571,230.0,191.507,196.507,0.657,0.618,0.0,0.0,GENERAL_MOTION_CONTACT,0.697,False,False,,INFO,No software threat condition satisfied.,0.341,software_priority_score_not_probability,True,205.746,False
10,RADAR-00010,TERMINATED,34,58,1.416667,2.416667,1.0,22,25,3,19,19,MAX_MISSED_FRAMES_EXCEEDED,577.855,114.067,575.11,116.602,1.607,1.501,242.266,37.635,OUTER_MONITORING,14.015,2.456,2.193,2.094,3.533,0.243,0.263,-0.33,0.358,0.681,14.015,GENERAL_MOTION,0.731,MEDIUM,0.88,0.791,0.427,0.643,0.863,HIGH,0.88,0.795,0.006,236.182,309.0,196.848,202.617,0.767,0.646,0.021,0.0,GENERAL_MOTION_CONTACT,0.856,False,False,,INFO,No software threat condition satisfied.,0.435,software_priority_score_not_probability,True,234.58,False
11,RADAR-00011,TERMINATED,103,159,4.291667,6.625,2.333333,57,57,0,19,19,MAX_MISSED_FRAMES_EXCEEDED,222.048,143.858,221.805,143.493,0.167,0.195,202.084,144.224,OUTER_MONITORING,6.921,0.494,-0.482,0.199,-0.217,0.559,0.031,0.015,0.052,0.073,2.966,STATIONARY,0.974,HIGH,1.0,0.98,1.0,0.897,0.935,HIGH,1.0,0.839,0.001,219.991,389.5,191.366,195.549,0.895,0.729,0.0,0.005,PERSISTENT_STATIONARY_CONTACT,0.887,False,False,,INFO,No software threat condition satisfied.,0.538,software_priority_score_not_probability,True,202.04,False
12,RADAR-00012,TERMINATED,134,169,5.583333,7.041667,1.458333,31,36,5,19,19,MAX_MISSED_FRAMES_EXCEEDED,626.869,144.463,627.077,144.746,0.494,0.448,268.016,26.011,OUTER_MONITORING,10.429,0.534,-0.462,0.575,0.726,0.268,0.057,0.102,0.332,0.295,7.151,NEAR_STATIONARY,0.851,HIGH,0.861,0.942,1.0,0.505,0.864,HIGH,0.861,0.821,0.013,252.242,527.0,188.289,194.264,0.837,0.709,0.0,0.0,NEAR_STATIONARY_CONTACT,0.875,False,False,,INFO,No software threat condition satisfied.,0.502,software_priority_score_not_probability,True,266.286,False
13,RADAR-00013,TERMINATED,134,170,5.583333,7.083333,1.5,37,37,0,19,19,MAX_MISSED_FRAMES_EXCEEDED,538.745,100.594,538.453,100.64,0.191,0.187,222.223,46.579,OUTER_MONITORING,7.385,0.693,0.427,0.191,0.213,0.246,0.141,0.025,0.054,0.0,4.923,STATIONARY,0.952,HIGH,1.0,0.981,1.0,0.852,0.863,HIGH,1.0,0.708,0.137,205.784,369.0,187.707,194.144,0.882,0.726,0.458,0.0,PERSISTENT_STATIONARY_CONTACT,0.796,False,False,,INFO,No software threat condition satisfied.,0.495,software_priority_score_not_probability,True,221.535,False
14,RADAR-00014,TERMINATED,136,169,5.666667,7.041667,1.375,33,34,1,19,19,MAX_MISSED_FRAMES_EXCEEDED,559.391,216.594,466.963,176.153,16.386,7.168,179.238,14.675,MID_DEFENSE_LAYER,110.676,104.283,62.234,10.74,9.162,0.117,33.585,-4.687,0.107,0.979,80.492,GENERAL_MOTION,0.548,LOW,0.971,0.0,0.401,0.627,0.907,HIGH,0.971,0.805,0.008,205.47,394.5,190.824,194.71,0.849,0.682,0.017,0.0,GENERAL_MOTION_CONTACT,0.863,False,False,,INFO,No software threat condition satisfied.,0.568,software_priority_score_not_probability,True,116.605,False
15,RADAR-00015,TERMINATED,137,175,5.708333,7.291667,1.583333,38,39,1,19,19,MAX_MISSED_FRAMES_EXCEEDED,530.408,54.086,474.563,49.676,9.183,0.742,253.144,55.218,OUTER_MONITORING,61.218,57.908,23.579,3.774,2.469,0.09,12.596,-1.326,0.092,0.955,38.664,GENERAL_MOTION,0.735,MEDIUM,0.974,0.623,0.379,0.802,0.882,HIGH,0.974,0.735,0.005,84.605,121.0,189.329,193.525,0.886,0.693,0.0,0.0,GENERAL_MOTION_CONTACT,0.815,False,False,,INFO,No software threat condition satisfied.,0.488,software_priority_score_not_probability,True,229.252,False
16,RADAR-00016,TERMINATED,138,172,5.75,7.166667,1.416667,31,35,4,19,19,MAX_MISSED_FRAMES_EXCEEDED,527.477,211.523,527.16,211.478,0.127,0.166,150.212,19.636,MID_DEFENSE_LAYER,3.679,0.397,0.371,0.148,0.23,0.372,0.054,0.067,0.216,0.107,2.597,STATIONARY,0.948,HIGH,0.886,0.985,1.0,0.904,0.864,HIGH,0.886,0.789,0.0,154.161,196.0,189.221,192.356,0.887,0.708,0.0,0.0,PERSISTENT_STATIONARY_CONTACT,0.852,False,False,,INFO,No software threat condition satisfied.,0.64,software_priority_score_not_probability,True,149.601,False
17,RADAR-00017,TERMINATED,140,161,5.833333,6.708333,0.875,22,22,0,19,19,MAX_MISSED_FRAMES_EXCEEDED,134.002,197.033,133.723,197.031,0.144,0.08,260.238,165.543,OUTER_MONITORING,2.103,0.427,-0.408,0.142,-0.34,0.399,0.028,-0.001,0.0,0.004,2.404,STATIONARY,0.975,HIGH,1.0,0.986,1.0,0.893,0.898,HIGH,1.0,0.745,0.0,85.477,95.0,190.915,192.844,0.904,0.711,0.0,0.0,PERSISTENT_STATIONARY_CONTACT,0.821,False,False,,INFO,No software threat condition satisfied.,0.478,software_priority_score_not_probability,True,260.238,False
