Target_ID,Target_Type,Track_Status,Final_Status,First_Frame,Last_Frame,Start_Time_Seconds,End_Time_Seconds,Duration_Seconds,Observation_Count,Range_km,Range_pixels,Azimuth_degrees,Speed_mps_estimated,Speed_pixels_per_second,Direction_degrees,Timestamp,Radar_ID,Location,Confidence,Defense_Zone,Threat_Ever_Detected,Critical_Threat_Ever_Detected,Track_Quality
T_1024,PERSON,ENDED,ENDED,0,39,0.0,1.625,1.625,33,3.22,268.355,25.98,0.137,3.034,25.98,00:00:01,BFSR_01,BORDER RADAR SECTOR A,0.862,OUTER_MONITORING,False,False,0.919
T_1025,PERSON,ENDED,ENDED,0,42,0.0,1.75,1.75,39,1.801,150.092,19.8,0.146,3.24,19.8,00:00:01,BFSR_01,BORDER RADAR SECTOR A,0.86,MID_DEFENSE_LAYER,True,False,0.943
T_1026,PERSON,ENDED,ENDED,0,43,0.0,1.792,1.792,44,1.389,115.766,48.13,0.235,5.211,254.32,00:00:01,BFSR_01,BORDER RADAR SECTOR A,0.851,MID_DEFENSE_LAYER,True,False,0.97
T_1027,PERSON,ENDED,ENDED,0,238,0.0,9.917,9.917,184,0.01,0.524,128.75,0.178,3.961,301.37,00:00:09,BFSR_01,BORDER RADAR SECTOR A,0.867,INNER_CRITICAL_ZONE,True,True,0.889
T_1028,PERSON,ENDED,ENDED,0,73,0.0,3.042,3.042,62,2.871,239.256,48.56,1.015,22.556,245.51,00:00:03,BFSR_01,BORDER RADAR SECTOR A,0.836,OUTER_MONITORING,False,False,0.898
T_1029,PERSON,ENDED,ENDED,4,44,0.167,1.833,1.667,41,2.752,229.324,67.71,0.209,4.644,323.44,00:00:01,BFSR_01,BORDER RADAR SECTOR A,0.852,OUTER_MONITORING,False,False,0.97
T_1030,PERSON,ENDED,ENDED,18,42,0.75,1.75,1.0,25,2.744,228.663,38.0,0.329,7.316,38.0,00:00:01,BFSR_01,BORDER RADAR SECTOR A,0.524,OUTER_MONITORING,True,False,0.909
T_1032,PERSON,ENDED,ENDED,25,51,1.042,2.125,1.083,25,2.699,224.929,51.98,0.135,2.996,239.0,00:00:02,BFSR_01,BORDER RADAR SECTOR A,0.846,OUTER_MONITORING,False,False,0.948
T_1033,PERSON,ENDED,ENDED,27,61,1.125,2.542,1.417,25,2.924,243.69,5.67,1.11,24.675,305.74,00:00:02,BFSR_01,BORDER RADAR SECTOR A,0.703,OUTER_MONITORING,False,False,0.873
T_1034,PERSON,ENDED,ENDED,30,62,1.25,2.583,1.333,25,2.999,249.891,38.35,0.485,10.784,38.35,00:00:02,BFSR_01,BORDER RADAR SECTOR A,0.852,OUTER_MONITORING,False,False,0.891
T_1035,PERSON,ENDED,ENDED,31,36,1.292,1.5,0.208,6,2.114,176.132,31.05,0.358,7.946,31.05,00:00:01,BFSR_01,BORDER RADAR SECTOR A,0.567,MID_DEFENSE_LAYER,True,False,0.627
T_1036,PERSON,ENDED,ENDED,31,49,1.292,2.042,0.75,19,2.683,223.587,7.72,0.389,8.639,348.88,00:00:02,BFSR_01,BORDER RADAR SECTOR A,0.583,OUTER_MONITORING,True,False,0.9
T_1037,PERSON,ENDED,ENDED,43,68,1.792,2.833,1.042,26,2.146,178.843,42.62,1.014,22.535,203.88,00:00:02,BFSR_01,BORDER RADAR SECTOR A,0.855,MID_DEFENSE_LAYER,True,False,0.97
T_1038,PERSON,ENDED,ENDED,50,56,2.083,2.333,0.25,7,2.47,205.865,9.37,0.381,8.465,9.37,00:00:02,BFSR_01,BORDER RADAR SECTOR A,0.846,MID_DEFENSE_LAYER,True,False,0.726
T_1039,PERSON,ENDED,ENDED,102,161,4.25,6.708,2.458,60,2.426,202.177,144.3,0.205,4.566,144.3,00:00:06,BFSR_01,BORDER RADAR SECTOR A,0.858,MID_DEFENSE_LAYER,True,False,0.971
T_1040,PERSON,ENDED,ENDED,120,167,5.0,6.958,1.958,48,3.124,260.366,165.46,0.161,3.578,165.46,00:00:06,BFSR_01,BORDER RADAR SECTOR A,0.857,OUTER_MONITORING,False,False,0.97
T_1041,PERSON,ENDED,ENDED,132,171,5.5,7.125,1.625,35,3.217,268.062,25.95,0.369,8.197,287.53,00:00:07,BFSR_01,BORDER RADAR SECTOR A,0.839,OUTER_MONITORING,False,False,0.932
T_1042,PERSON,ENDED,ENDED,132,134,5.5,5.583,0.083,3,2.628,218.962,52.87,2.693,59.836,179.36,00:00:05,BFSR_01,BORDER RADAR SECTOR A,0.733,OUTER_MONITORING,False,False,0.576
T_1043,PERSON,ENDED,ENDED,132,134,5.5,5.583,0.083,3,2.66,221.697,46.68,0.753,16.744,142.51,00:00:05,BFSR_01,BORDER RADAR SECTOR A,0.72,OUTER_MONITORING,False,False,0.551
T_1044,PERSON,ENDED,ENDED,133,176,5.542,7.333,1.792,44,2.755,229.614,67.72,0.376,8.358,67.72,00:00:07,BFSR_01,BORDER RADAR SECTOR A,0.867,OUTER_MONITORING,False,False,0.97
T_1045,PERSON,ENDED,ENDED,133,172,5.542,7.167,1.625,38,2.667,222.274,46.57,0.219,4.863,46.57,00:00:07,BFSR_01,BORDER RADAR SECTOR A,0.688,OUTER_MONITORING,False,False,0.915
T_1046,PERSON,ENDED,ENDED,134,192,5.583,8.0,2.417,58,1.504,125.344,44.96,0.301,6.687,343.49,00:00:08,BFSR_01,BORDER RADAR SECTOR A,0.697,MID_DEFENSE_LAYER,True,False,0.925
T_1047,PERSON,ENDED,ENDED,136,176,5.667,7.333,1.667,37,1.808,150.63,19.7,0.236,5.241,19.7,00:00:07,BFSR_01,BORDER RADAR SECTOR A,0.848,MID_DEFENSE_LAYER,True,False,0.939
T_1048,PERSON,ENDED,ENDED,137,194,5.708,8.083,2.375,45,1.765,147.07,36.16,0.153,3.404,36.16,00:00:08,BFSR_01,BORDER RADAR SECTOR A,0.694,MID_DEFENSE_LAYER,True,False,0.863
T_1049,PERSON,ENDED,ENDED,147,191,6.125,7.958,1.833,45,2.057,171.429,12.81,0.189,4.209,12.81,00:00:07,BFSR_01,BORDER RADAR SECTOR A,0.855,MID_DEFENSE_LAYER,True,False,0.969
T_1050,PERSON,ENDED,ENDED,156,193,6.5,8.042,1.542,31,1.626,135.54,75.9,0.22,4.897,254.84,00:00:08,BFSR_01,BORDER RADAR SECTOR A,0.84,MID_DEFENSE_LAYER,True,False,0.915
T_1051,PERSON,ENDED,ENDED,165,168,6.875,7.0,0.125,4,0.767,63.88,80.69,0.209,4.655,4.52,00:00:07,BFSR_01,BORDER RADAR SECTOR A,0.53,INNER_CRITICAL_ZONE,True,True,0.552
T_1053,PERSON,ENDED,ENDED,179,181,7.458,7.542,0.083,3,3.034,252.844,55.26,0.569,12.65,313.68,00:00:07,BFSR_01,BORDER RADAR SECTOR A,0.699,OUTER_MONITORING,False,False,0.57
T_1055,PERSON,ENDED,ENDED,184,187,7.667,7.792,0.125,3,2.775,231.235,209.78,0.009,0.207,209.78,00:00:07,BFSR_01,BORDER RADAR SECTOR A,0.641,OUTER_MONITORING,False,False,0.488
T_1059,PERSON,ENDED,ENDED,188,191,7.833,7.958,0.125,4,1.199,99.881,74.05,1.481,32.922,58.75,00:00:07,BFSR_01,BORDER RADAR SECTOR A,0.637,INNER_CRITICAL_ZONE,True,True,0.577
T_1060,PERSON,ENDED,ENDED,195,234,8.125,9.75,1.625,35,2.521,210.078,132.62,0.662,14.709,303.31,00:00:09,BFSR_01,BORDER RADAR SECTOR A,0.847,OUTER_MONITORING,True,False,0.931
T_1061,PERSON,ENDED,ENDED,198,235,8.25,9.792,1.542,30,2.255,187.931,144.76,0.456,10.13,143.96,00:00:09,BFSR_01,BORDER RADAR SECTOR A,0.815,MID_DEFENSE_LAYER,True,False,0.899
T_1062,PERSON,ENDED,ENDED,202,236,8.417,9.833,1.417,22,1.88,156.663,119.13,0.128,2.838,358.92,00:00:09,BFSR_01,BORDER RADAR SECTOR A,0.475,MID_DEFENSE_LAYER,True,False,0.842
T_1063,PERSON,ENDED,ENDED,202,236,8.417,9.833,1.417,25,1.742,145.134,137.03,0.276,6.124,292.07,00:00:09,BFSR_01,BORDER RADAR SECTOR A,0.451,MID_DEFENSE_LAYER,True,False,0.805
T_1064,PERSON,ENDED,ENDED,213,239,8.875,9.958,1.083,23,2.334,194.525,163.29,0.534,11.864,163.29,00:00:09,BFSR_01,BORDER RADAR SECTOR A,0.731,MID_DEFENSE_LAYER,True,False,0.859
T_1065,PERSON,ENDED,ENDED,221,239,9.208,9.958,0.75,16,2.541,211.773,120.88,0.396,8.794,120.88,00:00:09,BFSR_01,BORDER RADAR SECTOR A,0.676,OUTER_MONITORING,False,False,0.912
T_1066,PERSON,ENDED,ENDED,226,229,9.417,9.542,0.125,3,3.113,259.388,134.19,0.936,20.808,89.18,00:00:09,BFSR_01,BORDER RADAR SECTOR A,0.394,OUTER_MONITORING,False,False,0.436
T_1067,PERSON,ENDED,ENDED,230,233,9.583,9.708,0.125,4,2.691,224.265,184.92,0.357,7.927,184.92,00:00:09,BFSR_01,BORDER RADAR SECTOR A,0.654,OUTER_MONITORING,False,False,0.59
T_1068,PERSON,ENDED,ENDED,230,238,9.583,9.917,0.333,4,1.91,159.129,133.31,0.312,6.923,32.83,00:00:09,BFSR_01,BORDER RADAR SECTOR A,0.435,MID_DEFENSE_LAYER,False,False,0.4
T_1070,PERSON,ENDED,ENDED,237,239,9.875,9.958,0.083,3,1.592,132.671,140.36,0.346,7.688,140.36,00:00:09,BFSR_01,BORDER RADAR SECTOR A,0.893,MID_DEFENSE_LAYER,True,False,0.607
