Target_ID,Frame,Timestamp,X_pixels,Y_pixels,Range_pixels,Range_km_estimated,Azimuth_degrees,Speed_mps_estimated,Direction_degrees,Confidence,Defense_Zone,Target_Type,Radar_ID
T_1024,0,00:00:00,627.27,144.71,268.26,3.219,25.93,0.0,25.93,0.891,OUTER_MONITORING,PERSON,BFSR_01
T_1024,1,00:00:00,627.28,144.66,268.3,3.22,25.93,0.064,72.49,0.893,OUTER_MONITORING,PERSON,BFSR_01
T_1024,2,00:00:00,627.46,144.89,268.36,3.22,25.87,0.31,306.84,0.898,OUTER_MONITORING,PERSON,BFSR_01
T_1024,3,00:00:00,627.4,145.01,268.26,3.219,25.86,0.14,245.91,0.902,OUTER_MONITORING,PERSON,BFSR_01
T_1024,4,00:00:00,627.34,144.98,268.22,3.219,25.87,0.074,154.24,0.899,OUTER_MONITORING,PERSON,BFSR_01
T_1024,5,00:00:00,627.07,145.02,267.95,3.215,25.88,0.295,189.99,0.899,OUTER_MONITORING,PERSON,BFSR_01
T_1024,6,00:00:00,626.62,145.06,267.53,3.21,25.92,0.491,185.21,0.897,OUTER_MONITORING,PERSON,BFSR_01
T_1024,7,00:00:00,625.45,145.43,266.32,3.196,25.96,1.326,197.49,0.895,OUTER_MONITORING,PERSON,BFSR_01
T_1024,8,00:00:00,624.25,145.74,265.1,3.181,26.01,1.337,194.17,0.856,OUTER_MONITORING,PERSON,BFSR_01
T_1024,9,00:00:00,621.85,145.27,263.15,3.158,26.33,2.644,169.02,0.758,OUTER_MONITORING,PERSON,BFSR_01
T_1024,10,00:00:00,618.36,146.35,259.55,3.115,26.46,3.94,197.22,0.665,OUTER_MONITORING,PERSON,BFSR_01
T_1024,11,00:00:00,616.46,146.79,257.66,3.092,26.56,2.105,193.16,0.615,OUTER_MONITORING,PERSON,BFSR_01
T_1024,12,00:00:00,616.01,147.25,257.05,3.085,26.51,0.691,225.24,0.583,OUTER_MONITORING,PERSON,BFSR_01
T_1024,13,00:00:00,613.88,147.83,254.88,3.059,26.61,2.384,195.31,0.541,OUTER_MONITORING,PERSON,BFSR_01
T_1024,14,00:00:00,612.18,148.26,253.16,3.038,26.7,1.902,194.21,0.513,OUTER_MONITORING,PERSON,BFSR_01
T_1024,22,00:00:00,626.4,144.49,267.58,3.211,26.05,1.987,14.84,0.872,OUTER_MONITORING,PERSON,BFSR_01
T_1024,23,00:00:00,626.39,144.46,267.58,3.211,26.06,0.037,116.96,0.87,OUTER_MONITORING,PERSON,BFSR_01
T_1024,24,00:00:01,626.48,144.24,267.77,3.213,26.09,0.263,66.46,0.898,OUTER_MONITORING,PERSON,BFSR_01
T_1024,25,00:00:01,626.59,144.24,267.87,3.214,26.08,0.117,0.82,0.898,OUTER_MONITORING,PERSON,BFSR_01
T_1024,26,00:00:01,626.7,144.21,267.97,3.216,26.08,0.118,17.02,0.899,OUTER_MONITORING,PERSON,BFSR_01
T_1024,27,00:00:01,626.77,144.17,268.06,3.217,26.08,0.09,29.92,0.898,OUTER_MONITORING,PERSON,BFSR_01
T_1024,28,00:00:01,626.9,144.13,268.19,3.218,26.07,0.143,14.61,0.899,OUTER_MONITORING,PERSON,BFSR_01
T_1024,29,00:00:01,627.02,144.1,268.31,3.22,26.07,0.141,13.89,0.899,OUTER_MONITORING,PERSON,BFSR_01
T_1024,30,00:00:01,627.0,144.11,268.29,3.219,26.07,0.028,212.09,0.898,OUTER_MONITORING,PERSON,BFSR_01
T_1024,31,00:00:01,627.0,144.07,268.31,3.22,26.07,0.052,93.62,0.897,OUTER_MONITORING,PERSON,BFSR_01
T_1024,32,00:00:01,627.11,143.98,268.44,3.221,26.08,0.147,38.22,0.895,OUTER_MONITORING,PERSON,BFSR_01
T_1024,33,00:00:01,627.14,144.01,268.46,3.222,26.07,0.053,324.26,0.892,OUTER_MONITORING,PERSON,BFSR_01
T_1024,34,00:00:01,627.2,144.01,268.51,3.222,26.07,0.06,356.8,0.888,OUTER_MONITORING,PERSON,BFSR_01
T_1024,35,00:00:01,627.41,143.95,268.73,3.225,26.06,0.234,17.55,0.881,OUTER_MONITORING,PERSON,BFSR_01
T_1024,36,00:00:01,627.14,144.1,268.42,3.221,26.06,0.335,208.62,0.883,OUTER_MONITORING,PERSON,BFSR_01
T_1024,37,00:00:01,627.14,144.07,268.43,3.221,26.06,0.028,79.64,0.875,OUTER_MONITORING,PERSON,BFSR_01
T_1024,38,00:00:01,627.17,144.36,268.33,3.22,26.0,0.312,275.33,0.869,OUTER_MONITORING,PERSON,BFSR_01
T_1024,39,00:00:01,627.23,144.44,268.36,3.22,25.98,0.113,310.47,0.862,OUTER_MONITORING,PERSON,BFSR_01
T_1025,0,00:00:00,527.25,211.64,149.96,1.8,19.62,0.0,19.62,0.886,MID_DEFENSE_LAYER,PERSON,BFSR_01
T_1025,1,00:00:00,527.28,211.57,150.01,1.8,19.64,0.088,67.46,0.887,MID_DEFENSE_LAYER,PERSON,BFSR_01
T_1025,2,00:00:00,527.22,211.8,149.88,1.799,19.57,0.255,255.06,0.889,MID_DEFENSE_LAYER,PERSON,BFSR_01
T_1025,3,00:00:00,527.47,211.86,150.09,1.801,19.52,0.277,345.93,0.894,MID_DEFENSE_LAYER,PERSON,BFSR_01
